id,description,name,accreditations,alternate_name,date_incorporated,email,funding_sources,legal_status,licenses,tax_id,tax_status,website
0,"Provides transitional housing for women and women with children. Other services provided: Case management, Information, Assistance applying for benefits, Utility Assistance, 1 month's rent and security deposit assistance (rent assistance).",Allegany County Human Resources Women's Transitional Housing,,,,,,,,,,
1,Outpatient Mental Health Crisis assistance. Free and/or accepts Medicaid.,Committed to Change,,,,,,,,,,
2,"Substance Abuse treatment including Outpatient Detox, Intensive/Standard Outpatient, Methadone and Buprenorphine treatment. Medicaid Accepted.",Cumberland Treatment Center,,,,,,,,,,
3,Assistance with applying for and owning an affordable home. Free guidance.,Habitat for Humanity-Home Buying Program,,,,,,,,,,
4,"Affordable rental housing that serves low and moderate income households, seniors and persons with special needs. Statewide. Free eligibility screening.",Homes for America,,,,,,,,,,
5,"A tenant based rental subsidy program providing  permanent housing in connection with supportive services to homeless people with disabilities and their families. Eligibility requirements: Serious mental illness; and/or Chronic problems with alcohol, drugs and/or (AIDS) or related diseases. Call for more information.",Mental Hygiene Administration's (MHA) Continuum of Care (CoC) Housing Program,,,,,,,,,,
6,"Information, education and referral for individuals and families affected by opioid abuse. Free.",Prescribe Change Allegany County,,,,,,,,,,
7,"Mediation services for community, family, landlord tenant, employment, reentry conflicts. Free.",Anne Arundel Conflict Resolution Center,,,,,,,,,,
8,Substance abuse treatment and counseling. Sexual offender treatment and services. Prostitution and Solicitation program. Medicaid Accepted.,"Anne Arundel Counseling, Inc. - Edgewater",,,,,,,,,,
9,Substance abuse treatment and counseling. Sexual offender treatment and services. Prostitution and Solicitation program. Medicaid Accepted.,"Anne Arundel Counseling, Inc. - Annapolis",,,,,,,,,,
10,Substance abuse treatment and counseling. Sexual offender treatment and services. Prostitution and Solicitation program. Medicaid Accepted.,"Anne Arundel Counseling, Inc. - Glen Burnie",,,,,,,,,,
11,"Energy, rent and housing assistance. Eviction prevention. Early head start program, youth summer employment for 15- 24 year olds. Comprehensive case management and referrals.",Anne Arundel County Community Action Agency,,,,,,,,,,
12,"Substance Abuse and Mental Health treatment. Intensive/Standard Outpatient, Methadone and Suboxone treatment. Individual and family counseling. Accepts Medicaid.","Anne Arundel County Department of Health, Behavioral Health Building, Child and Adolescent Mental Health Services",,,,,,,,,,
